   0.0000000e+00  -2.0204499e-01   1.7509743e-01  -1.4123572e+01   3.9413007e+01
   5.0105485e-04  -2.1078035e-01   1.3914566e-01  -1.4238218e+01   3.6236347e+01
   1.0021097e-03  -1.9464951e-01   1.3976457e-01  -1.4437525e+01   3.2971457e+01
   1.5031646e-03  -1.8895278e-01   1.8479028e-01  -1.4056241e+01   2.8620073e+01
   2.0042194e-03  -1.8986278e-01   1.8522177e-01  -1.3748166e+01   2.4109135e+01
   2.5052743e-03  -2.0730605e-01   2.1016374e-01  -1.3493498e+01   1.9600397e+01
   3.0063291e-03  -2.4111272e-01   2.5078394e-01  -1.2951078e+01   1.4904670e+01
   3.5073840e-03  -2.5522641e-01   2.5234696e-01  -1.2252770e+01   1.0780772e+01
   4.0084388e-03  -2.4808177e-01   2.3339908e-01  -1.1343520e+01   7.5469182e+00
   4.5094937e-03  -2.6268421e-01   2.1762601e-01  -1.0220337e+01   5.9011012e+00
   5.0105485e-03  -2.8706333e-01   1.9982894e-01  -9.0015204e+00   6.1078165e+00
   5.5116034e-03  -2.5471249e-01   1.7588396e-01  -7.7919797e+00   7.0724396e+00
   6.0126582e-03  -2.2687638e-01   1.7176890e-01  -6.5250337e+00   7.5314027e+00
   6.5137131e-03  -2.5755104e-01   1.7738165e-01  -5.0682533e+00   7.3727307e+00
   7.0147679e-03  -2.8818815e-01   1.8041316e-01  -3.8233990e+00   6.5021193e+00
   7.5158228e-03  -2.6274658e-01   1.4321134e-01  -2.9809078e+00   6.0053390e+00
   8.0168776e-03  -2.5917005e-01   1.3693646e-01  -2.0391051e+00   6.4200836e+00
   8.5179325e-03  -2.7557257e-01   1.3579636e-01  -7.8142849e-01   7.2370692e+00
   9.0189873e-03  -2.7341328e-01   1.2896485e-01   5.3532471e-01   8.8078949e+00
   9.5200422e-03  -2.7385336e-01   1.7205660e-01   1.5798365e+00   1.0555476e+01
   1.0021097e-02  -2.6921845e-01   1.8844101e-01   2.4110463e+00   1.2068682e+01
   1.0522152e-02  -2.5831604e-01   1.8672078e-01   3.3346838e+00   1.2855870e+01
   1.1023207e-02  -2.5302865e-01   1.8723055e-01   4.2907730e+00   1.2584108e+01
   1.1524262e-02  -2.5796383e-01   1.8314144e-01   4.9626244e+00   1.1478403e+01
   1.2025316e-02  -2.5550837e-01   2.0461889e-01   5.3613670e+00   9.5550064e+00
   1.2526371e-02  -2.4363197e-01   2.3206134e-01   6.0708660e+00   6.5186633e+00
   1.3027426e-02  -2.4018772e-01   2.4657974e-01   6.9490546e+00   2.9857487e+00
   1.3528481e-02  -2.6364249e-01   2.6561572e-01   7.5626321e+00   1.7117187e+00
   1.4029536e-02  -2.7072384e-01   2.6972877e-01   7.9411376e+00   4.8732295e+00
   1.4530591e-02  -2.3339263e-01   2.3880374e-01   8.4862936e+00   7.9993857e+00
   1.5031646e-02  -2.0550321e-01   2.0738380e-01   8.8902087e+00   1.0659293e+01
   1.5532700e-02  -2.1977906e-01   1.8218405e-01   9.1527891e+00   1.2631872e+01
   1.6033755e-02  -2.2601040e-01   1.6658260e-01   9.6432065e+00   1.3823493e+01
   1.6534810e-02  -1.9833040e-01   1.6156026e-01   9.9959085e+00   1.3703536e+01
   1.7035865e-02  -1.9222340e-01   1.5182538e-01   1.0312050e+01   1.2809240e+01
